timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
2024-07-03 15:44:09.628200,4266.923,4287.949,4323.333,4288.718,4280.513,4297.051,4326.923,4201.923,4197.436,4299.744,4417.692,4456.41,4389.487,4382.051
2024-07-03 15:44:09.636000,4263.59,4284.103,4332.436,4286.026,4253.59,4293.846,4328.718,4203.59,4195.0,4279.231,4409.231,4466.538,4367.692,4365.513
2024-07-03 15:44:09.644000,4247.821,4239.744,4325.0,4297.692,4228.974,4283.333,4320.256,4186.026,4179.744,4260.769,4400.769,4457.949,4306.538,4350.128
2024-07-03 15:44:09.651800,4239.615,4222.308,4322.179,4289.359,4257.308,4293.333,4318.333,4181.667,4181.154,4273.718,4409.487,4455.256,4313.462,4362.179
2024-07-03 15:44:09.659700,4252.436,4255.385,4323.077,4262.179,4291.41,4299.744,4312.179,4185.897,4193.205,4295.385,4414.359,4454.744,4368.59,4366.026
2024-07-03 15:44:09.667500,4271.026,4277.051,4324.103,4254.872,4277.436,4287.436,4307.308,4186.154,4193.718,4286.923,4409.872,4448.462,4376.282,4359.359
2024-07-03 15:44:09.675400,4258.333,4259.872,4320.256,4277.564,4243.205,4277.179,4308.718,4184.359,4184.744,4262.564,4395.256,4440.769,4327.821,4357.436
2024-07-03 15:44:09.683200,4226.154,4236.154,4305.256,4284.103,4242.949,4274.744,4304.359,4181.667,4171.538,4255.641,4377.051,4435.385,4304.615,4347.051
2024-07-03 15:44:09.691100,4227.821,4237.949,4305.256,4267.308,4268.205,4287.949,4318.974,4196.41,4178.077,4268.077,4398.974,4446.41,4336.41,4345.385
2024-07-03 15:44:09.698900,4258.718,4260.0,4324.359,4286.923,4263.077,4306.41,4347.949,4221.026,4201.795,4276.667,4427.564,4465.128,4372.308,4365.0
2024-07-03 15:44:09.706700,4270.385,4270.128,4329.615,4308.974,4242.051,4302.821,4340.513,4221.538,4211.154,4277.949,4397.949,4466.923,4357.436,4374.615
2024-07-03 15:44:09.714500,4247.179,4247.564,4322.949,4270.897,4239.615,4287.308,4316.41,4201.41,4195.513,4276.154,4391.41,4457.436,4316.154,4371.282
2024-07-03 15:44:09.722200,4239.359,4236.667,4333.077,4247.821,4262.564,4297.051,4331.923,4198.59,4197.949,4286.282,4441.282,4470.256,4336.538,4377.564
2024-07-03 15:44:09.730000,4255.256,4257.949,4333.462,4278.205,4280.128,4311.923,4342.051,4206.667,4217.821,4296.282,4443.718,4478.077,4368.846,4378.077
2024-07-03 15:44:09.737700,4260.256,4252.821,4312.692,4299.231,4266.923,4303.077,4315.128,4200.897,4207.821,4287.564,4406.026,4453.718,4337.949,4358.846
2024-07-03 15:44:09.745700,4247.436,4243.718,4312.436,4293.718,4246.282,4294.872,4307.692,4197.436,4200.641,4281.026,4395.128,4443.462,4322.179,4351.795
2024-07-03 15:44:09.753500,4232.564,4247.821,4322.179,4256.923,4235.0,4288.846,4317.692,4201.41,4215.128,4265.385,4381.795,4454.615,4335.897,4356.667
2024-07-03 15:44:09.761400,4229.744,4221.538,4307.179,4226.282,4255.769,4286.923,4313.462,4199.744,4209.615,4239.359,4375.256,4448.59,4317.051,4346.667
2024-07-03 15:44:09.769200,4232.308,4210.128,4286.667,4251.026,4273.974,4294.103,4308.333,4193.846,4181.026,4248.077,4405.641,4429.615,4310.897,4331.795
2024-07-03 15:44:09.777000,4234.359,4240.128,4296.667,4286.282,4242.308,4290.897,4315.0,4201.154,4180.0,4287.692,4408.205,4436.282,4337.436,4339.231
2024-07-03 15:44:09.784700,4223.333,4246.282,4310.513,4263.974,4219.487,4283.077,4321.282,4208.333,4203.59,4276.282,4371.154,4447.949,4314.615,4356.41
2024-07-03 15:44:09.792500,4206.923,4228.846,4299.615,4227.436,4249.615,4288.846,4320.0,4196.795,4206.923,4227.179,4366.667,4429.231,4285.641,4350.385
2024-07-03 15:44:09.800200,4215.897,4218.59,4289.103,4233.333,4261.154,4286.282,4310.641,4188.718,4198.205,4238.974,4394.744,4412.821,4315.641,4322.564
2024-07-03 15:44:09.808100,4227.949,4196.538,4293.974,4250.897,4238.59,4274.359,4306.923,4196.538,4204.487,4272.308,4402.308,4422.051,4324.487,4310.256
2024-07-03 15:44:09.815900,4220.513,4202.564,4298.462,4253.077,4243.718,4282.821,4316.795,4202.692,4216.41,4273.077,4395.385,4434.744,4303.974,4339.231
2024-07-03 15:44:09.823800,4211.923,4236.923,4289.872,4251.41,4239.487,4285.769,4309.744,4196.154,4201.667,4272.308,4404.872,4429.103,4312.821,4374.615
2024-07-03 15:44:09.831600,4223.205,4242.308,4290.256,4258.59,4232.179,4275.513,4294.744,4195.256,4186.026,4273.718,4411.538,4428.462,4331.026,4368.974
2024-07-03 15:44:09.839600,4243.077,4230.0,4306.282,4261.026,4255.513,4276.282,4297.949,4203.333,4198.59,4252.436,4402.436,4442.564,4338.205,4341.154
2024-07-03 15:44:09.847400,4232.692,4219.103,4309.103,4263.59,4240.128,4280.0,4303.974,4201.41,4207.051,4236.538,4401.667,4439.359,4328.462,4332.308
2024-07-03 15:44:09.855300,4209.231,4214.615,4301.667,4265.385,4219.487,4278.974,4305.897,4198.59,4202.821,4250.385,4416.41,4430.0,4302.436,4357.436
2024-07-03 15:44:09.863100,4230.897,4233.462,4305.641,4259.744,4259.103,4277.436,4311.795,4201.282,4201.026,4260.897,4423.846,4443.59,4300.641,4390.128
2024-07-03 15:44:09.870900,4275.385,4262.564,4320.897,4275.0,4285.385,4285.641,4322.308,4206.667,4219.744,4273.333,4433.077,4465.256,4356.026,4387.436
2024-07-03 15:44:09.878600,4273.59,4273.59,4332.564,4285.256,4261.282,4297.308,4325.0,4211.026,4251.923,4300.513,4452.949,4467.564,4391.538,4365.256
2024-07-03 15:44:09.886500,4251.154,4277.051,4335.513,4276.154,4257.949,4299.872,4326.538,4216.154,4250.513,4311.282,4461.282,4465.0,4363.205,4386.154
2024-07-03 15:44:09.894300,4267.436,4278.077,4328.846,4291.026,4276.923,4299.103,4327.821,4222.051,4219.231,4288.718,4443.974,4469.872,4346.923,4416.538
2024-07-03 15:44:09.902100,4280.897,4269.744,4322.179,4313.333,4271.667,4292.949,4316.026,4211.667,4211.282,4256.154,4431.282,4471.538,4358.59,4400.385
2024-07-03 15:44:09.909900,4278.462,4272.564,4333.974,4313.205,4254.872,4284.744,4308.462,4197.308,4224.744,4264.231,4461.667,4478.333,4369.487,4398.974
2024-07-03 15:44:09.917600,4299.359,4286.667,4347.821,4309.487,4248.718,4287.051,4316.667,4205.513,4224.103,4294.744,4491.154,4486.154,4374.872,4438.718
2024-07-03 15:44:09.925400,4311.282,4297.564,4342.308,4309.744,4250.769,4286.795,4316.282,4217.308,4214.359,4297.821,4477.308,4484.487,4373.974,4451.923
2024-07-03 15:44:09.933100,4302.821,4314.359,4336.538,4316.282,4264.872,4275.897,4307.821,4211.538,4217.051,4299.231,4462.692,4483.462,4391.923,4441.41
2024-07-03 15:44:09.941000,4326.154,4327.436,4359.744,4327.308,4290.769,4276.667,4315.513,4210.0,4234.231,4315.897,4487.821,4496.282,4422.564,4459.615
2024-07-03 15:44:09.948700,4366.026,4311.282,4379.231,4335.385,4297.949,4282.051,4316.795,4215.385,4237.308,4302.692,4509.744,4508.077,4430.513,4490.128
2024-07-03 15:44:09.956500,4374.744,4314.872,4367.692,4343.205,4271.795,4278.59,4303.846,4211.538,4221.923,4291.154,4494.103,4509.487,4423.974,4507.436
2024-07-03 15:44:09.964200,4368.846,4347.564,4363.205,4345.897,4248.718,4276.026,4310.513,4210.641,4231.282,4322.051,4490.0,4513.974,4445.256,4513.205
2024-07-03 15:44:09.972000,4364.615,4343.077,4370.897,4337.692,4276.026,4278.974,4324.872,4216.538,4254.487,4337.949,4510.769,4515.256,4465.897,4500.897
2024-07-03 15:44:09.979700,4359.103,4323.462,4364.872,4334.487,4312.308,4283.59,4320.513,4215.769,4252.308,4329.872,4513.205,4507.564,4456.795,4493.846
2024-07-03 15:44:09.987500,4368.59,4337.179,4364.231,4347.821,4315.385,4286.41,4318.974,4217.564,4242.692,4329.103,4499.872,4511.923,4444.744,4512.051
2024-07-03 15:44:09.995200,4382.821,4345.897,4381.41,4350.0,4302.436,4281.923,4325.256,4229.615,4249.103,4317.692,4515.641,4530.128,4444.487,4532.051
2024-07-03 15:44:10.003100,4370.0,4326.923,4382.436,4344.615,4273.333,4274.359,4320.513,4232.949,4248.077,4302.564,4521.154,4529.359,4459.872,4528.205
